City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
277,Takoradi,GH,2020-02-23 14:41:39,4.88,-1.76,88.54,66,100,3.8
278,Lodja,CD,2020-02-23 14:41:39,-3.48,23.43,84.88,65,94,1.81
279,Port Elizabeth,ZA,2020-02-23 14:41:40,-33.92,25.57,69.8,56,40,12.75
280,Ambilobe,MG,2020-02-23 14:41:40,-13.2,49.05,79.92,87,100,3.58
281,Ayna,PE,2020-02-23 14:41:41,-12.65,-73.92,62.6,72,40,5.82
282,San Lorenzo,PY,2020-02-23 14:41:42,-25.33,-57.53,77.0,38,57,3.36
283,Ust-Maya,RU,2020-02-23 14:41:42,60.42,134.53,-7.78,98,100,1.32
284,Namibe,AO,2020-02-23 14:41:42,-15.2,12.15,78.8,69,40,16.11
285,Nurota,UZ,2020-02-23 14:41:43,40.56,65.69,53.6,62,74,6.93
286,Yumen,CN,2020-02-23 14:41:43,40.28,97.2,33.48,35,69,15.48
287,Seoul,KR,2020-02-23 14:39:38,37.57,126.98,33.8,74,1,3.67
288,Leningradskiy,RU,2020-02-23 14:41:44,69.38,178.42,-12.17,80,100,7.09
289,Belmonte,BR,2020-02-23 14:41:45,-15.86,-38.88,84.2,74,75,6.93
290,Mezen,RU,2020-02-23 14:41:45,65.85,44.24,33.08,97,100,22.86
291,Guasdualito,VE,2020-02-23 14:41:46,7.24,-70.73,84.2,51,40,6.93
292,Clyde River,CA,2020-02-23 14:41:46,70.47,-68.59,-25.6,74,1,16.11
293,Marrakesh,MA,2020-02-23 14:37:02,31.63,-8.01,82.4,15,0,4.7
294,Cabo San Lucas,MX,2020-02-23 14:37:02,22.89,-109.91,70.0,45,40,6.93
295,Bandarbeyla,SO,2020-02-23 14:41:47,9.49,50.81,78.82,74,91,16.87
296,Constitucion,CL,2020-02-23 14:41:48,-35.33,-72.42,63.3,67,0,5.93
297,San Cristobal,VE,2020-02-23 14:40:31,7.77,-72.22,75.2,83,75,4.7
298,North Bend,US,2020-02-23 14:41:49,43.41,-124.22,48.99,100,90,11.41
299,Bathsheba,BB,2020-02-23 14:36:56,13.22,-59.52,84.2,70,75,16.11
300,Grand-Santi,GF,2020-02-23 14:41:49,4.25,-54.38,88.45,58,99,5.59
301,Humaita,BR,2020-02-23 14:41:50,-7.51,-63.02,76.15,94,100,1.34
302,Adrar,MR,2020-02-23 14:41:50,20.5,-10.07,95.7,6,94,20.4
303,Praia Da Vitoria,PT,2020-02-23 14:41:51,38.73,-27.07,66.2,63,20,8.95
304,Scarborough,GB,2020-02-23 14:41:51,54.28,-0.4,46.0,80,35,19.46
