City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
162,162,Iracoubo,GF,2020-02-24 02:59:15,5.48,-53.2,78.75,82,97,16.08,light rain,0.13,0.0
163,163,Hirara,JP,2020-02-24 02:59:16,24.8,125.28,75.2,53,40,11.41,scattered clouds,0.0,0.0
164,164,Nikolskoye,RU,2020-02-24 02:59:16,59.7,30.79,35.6,94,90,11.18,overcast clouds,0.0,0.0
165,165,Hanzhong,CN,2020-02-24 02:59:17,33.07,107.03,58.28,48,32,6.24,scattered clouds,0.0,0.0
166,166,Goundam,ML,2020-02-24 02:59:17,16.41,-3.67,76.28,12,0,14.05,clear sky,0.0,0.0
167,167,Vestmanna,FO,2020-02-24 02:59:17,62.16,-7.17,37.4,69,43,20.8,light snow,0.0,0.31
168,168,Zhigansk,RU,2020-02-24 02:59:18,66.77,123.37,-6.12,93,100,16.24,overcast clouds,0.0,0.0
169,169,Tessalit,ML,2020-02-24 02:59:18,20.2,1.01,68.76,18,0,12.82,clear sky,0.0,0.0
170,170,Puerto Baquerizo Moreno,EC,2020-02-24 02:59:19,-0.9,-89.6,79.47,83,82,7.54,broken clouds,0.0,0.0
171,171,Santa Cruz De La Palma,ES,2020-02-24 02:59:19,28.68,-17.76,73.4,46,90,8.05,haze,0.0,0.0
172,172,Maragogi,BR,2020-02-24 02:57:56,-9.01,-35.22,81.88,78,66,12.08,light rain,0.19,0.0
173,173,Penzance,GB,2020-02-24 02:59:20,50.12,-5.54,52.0,100,100,21.92,overcast clouds,0.0,0.0
174,174,Tegh,AM,2020-02-24 02:59:20,39.56,46.48,35.65,68,0,4.07,clear sky,0.0,0.0
175,175,Santa Cruz,BO,2020-02-24 02:57:50,-17.8,-63.17,75.2,69,75,3.36,broken clouds,0.0,0.0
176,176,Hithadhoo,MV,2020-02-24 02:59:21,-0.6,73.08,83.39,79,78,13.49,light rain,0.19,0.0
177,177,Necochea,AR,2020-02-24 02:59:22,-38.55,-58.74,63.0,74,0,10.0,clear sky,0.0,0.0
178,178,Port Moresby,PG,2020-02-24 02:55:19,-9.44,147.18,89.6,70,20,9.17,few clouds,0.0,0.0
179,179,Los Altos,US,2020-02-24 02:59:01,37.39,-122.11,57.99,76,1,10.29,clear sky,0.0,0.0
180,180,Ahipara,NZ,2020-02-24 02:59:23,-35.17,173.17,67.77,71,0,24.7,clear sky,0.0,0.0
181,181,Henties Bay,,2020-02-24 02:59:24,-22.12,14.28,64.0,94,100,5.01,overcast clouds,0.0,0.0
182,182,Petatlan,MX,2020-02-24 02:59:24,17.52,-101.27,80.6,69,5,6.93,clear sky,0.0,0.0
183,183,Thinadhoo,MV,2020-02-24 02:59:25,0.53,72.93,82.78,81,69,15.93,light rain,1.44,0.0
184,184,Taltal,CL,2020-02-24 02:59:25,-25.4,-70.48,59.9,91,0,2.1,clear sky,0.0,0.0
185,185,Brae,GB,2020-02-24 02:59:26,60.4,-1.35,39.2,60,64,10.29,broken clouds,0.0,0.0
186,186,Norman Wells,CA,2020-02-24 02:59:27,65.28,-126.83,6.8,77,75,4.7,light snow,0.0,0.0
187,187,Misratah,LY,2020-02-24 02:59:27,32.38,15.09,59.04,75,40,17.34,scattered clouds,0.0,0.0
188,188,Kavaratti,IN,2020-02-24 02:59:27,10.57,72.64,82.4,83,20,4.7,few clouds,0.0,0.0
189,189,Acapulco,MX,2020-02-24 02:56:39,16.86,-99.89,80.6,78,20,11.41,few clouds,0.0,0.0
190,190,Thunder Bay,CA,2020-02-24 02:55:42,48.4,-89.32,37.4,59,20,11.41,few clouds,0.0,0.0
191,191,Upernavik,GL,2020-02-24 02:59:29,72.79,-56.15,-19.8,86,1,4.72,clear sky,0.0,0.0
192,192,Kalabo,ZM,2020-02-24 02:59:29,-14.97,22.68,68.25,97,100,6.6,moderate rain,3.31,0.0
193,193,Bengkulu,ID,2020-02-24 02:59:30,-3.8,102.27,86.94,55,0,4.63,clear sky,0.0,0.0
194,194,Vardo,NO,2020-02-24 02:59:30,70.37,31.11,33.85,85,100,13.98,light snow,0.0,0.25
195,195,Paralimni,CY,2020-02-24 02:59:31,35.04,33.98,57.2,82,75,24.16,light rain,0.0,0.0
196,196,Vao,NC,2020-02-24 02:59:31,-22.67,167.48,78.53,72,93,14.61,overcast clouds,0.0,0.0
197,197,Trairi,BR,2020-02-24 02:59:31,-3.28,-39.27,72.95,96,18,2.15,few clouds,0.0,0.0
198,198,Airai,TL,2020-02-24 02:59:32,-8.93,125.41,81.59,60,22,3.53,light rain,0.5,0.0
199,199,Oulu,FI,2020-02-24 02:59:32,65.0,25.5,32.0,80,20,16.11,few clouds,0.0,0.0
200,200,Slavyanka,RU,2020-02-24 02:59:33,42.86,131.38,37.8,48,0,7.52,clear sky,0.0,0.0
201,201,Hami,CN,2020-02-24 02:59:33,42.8,93.45,33.84,47,21,3.06,few clouds,0.0,0.0
202,202,Cabo San Lucas,MX,2020-02-24 02:54:50,22.89,-109.91,69.8,77,40,4.7,scattered clouds,0.0,0.0
203,203,Staunton,US,2020-02-24 02:59:34,38.15,-79.07,42.01,32,1,4.83,clear sky,0.0,0.0
204,204,Tongren,CN,2020-02-24 02:57:20,27.72,109.19,66.34,65,33,11.72,scattered clouds,0.0,0.0
205,205,Reconquista,AR,2020-02-24 02:59:35,-29.15,-59.65,64.09,57,0,2.46,clear sky,0.0,0.0
206,206,Motygino,RU,2020-02-24 02:59:35,58.18,94.76,16.54,95,99,3.27,light snow,0.0,0.13
207,207,Bambous Virieux,MU,2020-02-24 02:55:04,-20.34,57.76,75.99,94,20,3.36,few clouds,0.0,0.0
208,208,Almaznyy,RU,2020-02-24 02:59:36,48.04,40.05,39.2,93,40,15.66,light intensity shower rain,0.0,0.0
209,209,Saint-Francois,FR,2020-02-24 02:59:37,46.42,3.91,46.99,81,90,5.82,overcast clouds,0.0,0.0
210,210,Husavik,IS,2020-02-24 02:57:05,66.04,-17.34,26.02,92,100,6.04,light snow,0.0,0.88
211,211,Hervey Bay,AU,2020-02-24 02:59:38,-25.3,152.85,77.0,94,90,11.41,drizzle,0.0,0.0
212,212,San Patricio,MX,2020-02-24 02:59:38,19.22,-104.7,80.6,74,20,5.82,few clouds,0.0,0.0
213,213,Viedma,AR,2020-02-24 02:57:11,-40.81,-63.0,78.8,34,0,16.35,clear sky,0.0,0.0
214,214,Asau,RO,2020-02-24 02:59:39,46.43,26.4,54.0,58,100,14.99,light rain,0.31,0.0
215,215,Zaysan,KZ,2020-02-24 02:59:39,47.47,84.87,15.62,94,100,2.42,overcast clouds,0.0,0.0
216,216,Hokitika,NZ,2020-02-24 02:59:40,-42.72,170.97,62.44,74,66,6.91,broken clouds,0.0,0.0
217,217,Peace River,CA,2020-02-24 02:59:40,56.25,-117.29,17.6,57,40,4.7,scattered clouds,0.0,0.0
218,218,Seoul,KR,2020-02-24 02:55:10,37.57,126.98,48.2,49,40,4.7,scattered clouds,0.0,0.0
219,219,Port Blair,IN,2020-02-24 02:59:41,11.67,92.75,81.72,74,38,13.73,scattered clouds,0.0,0.0
220,220,Hino,JP,2020-02-24 02:59:41,35.67,139.4,60.01,37,20,4.7,few clouds,0.0,0.0
221,221,Sorong,ID,2020-02-24 02:59:42,-0.88,131.25,91.24,54,100,3.65,light rain,0.44,0.0
222,222,Cap Malheureux,MU,2020-02-24 02:59:42,-19.98,57.61,75.99,94,20,3.36,few clouds,0.0,0.0
